name,external_id
Auto tag agency,auto_tag_agency
Auto tune up service,auto_tune_up_service
Auto upholsterer,auto_upholsterer
Auto window tinting service,auto_window_tinting_service
Auto wrecker,auto_wrecker
Automation company,automation_company
Automobile storage facility,automobile_storage_facility
Aviation consultant,aviation_consultant
Aviation training institute,aviation_training_institute
Awadhi restaurant,awadhi_restaurant
Awning supplier,awning_supplier
Ayam penyet restaurant,ayam_penyet_restaurant
Ayurvedic clinic,ayurvedic_clinic
Azerbaijani Restaurant,azerbaijani_restaurant
Açaí shop,acai_shop
BBQ area,bbq_area
BMW dealer,bmw_dealer
BMW motorcycle dealer,bmw_motorcycle_dealer
BMX club,bmx_club
BMX park,bmx_park
BMX track,bmx_track
BPO company,bpo_company
BPO placement agency,bpo_placement_agency
Baby clothing store,baby_clothing_store
Baby store,baby_store
Baby swimming school,baby_swimming_school
Baden restaurant,baden_restaurant
Badminton club,badminton_club
Badminton complex,badminton_complex
Badminton court,badminton_court
Bag shop,bag_shop
Bagel shop,bagel_shop
Bahá'í house of worship,bahai_house_of_worship
Bail bonds service,bail_bonds_service
Bait shop,bait_shop
Bakery,bakery
Bakery equipment,bakery_equipment
Baking supply store,baking_supply_store
Bakso restaurant,bakso_restaurant
Balinese restaurant,balinese_restaurant
Ballet school,ballet_school
Ballet theater,ballet_theater
Balloon artist,balloon_artist
Balloon ride tour agency,balloon_ride_tour_agency
Balloon store,balloon_store
Ballroom dance instructor,ballroom_dance_instructor
Band,band
Bangladeshi restaurant,bangladeshi_restaurant
Bangle Shop,bangle_shop
Bank,bank
Bankruptcy attorney,bankruptcy_attorney
Bankruptcy service,bankruptcy_service
Banner store,banner_store
Banquet hall,banquet_hall
Baptist church,baptist_church
Bar,bar
Bar & grill,bar_and_grill
Bar PMU,bar_pmu
Bar restaurant furniture store,bar_restaurant_furniture_store
Bar stool supplier,bar_stool_supplier
Bar tabac,bar_tabac
Barbecue area,barbecue_spots
Barbecue restaurant,barbecue_restaurant
Barber school,barber_school
Barber shop,barber_shop
Barber supply store,barber_supply_store
Bariatric surgeon,bariatric_surgeon
Bark supplier,bark_supplier
Barrel supplier,barrel_supplier
Barrister,barrister
Bartending school,bartending_school
Baseball club,baseball_club
Baseball field,baseball_field
Baseball goods store,baseball_goods_store
Basilica,basilica
Basket supplier,basket_supplier
Basketball club,basketball_club
Basketball court,basketball_court
Basketball court contractor,basketball_court_contractor
Basque restaurant,basque_restaurant
Batak restaurant,batak_restaurant
Bathroom remodeler,bathroom_remodeler
Bathroom supply store,bathroom_supply_store
Batik clothing store,batik_clothing_store
Battery manufacturer,battery_manufacturer
Battery store,battery_store
Battery wholesaler,battery_wholesaler
Batting cage center,batting_cage_center
Bavarian restaurant,bavarian_restaurant
Bazar,bazar
Beach cleaning service,beach_cleaning_service
Beach clothing store,beach_clothing_store
Beach club,beach_club
Beach entertainment shop,beach_entertainment_shop
Beach pavillion,beach_pavillion
Beach volleyball club,beach_volleyball_club
Beach volleyball court,beach_volleyball_court
Bead store,bead_store
Bead wholesaler,bead_wholesaler
Bearing supplier,bearing_supplier
Beautician,beautician
Beauty product supplier,beauty_product_supplier
Beauty products vending machine,beauty_products_vending_machine
Beauty products wholesaler,beauty_products_wholesaler
Beauty salon,beauty_salon
Beauty school,beauty_school
Beauty supply store,beauty_supply_store
Bed & breakfast,bed_and_breakfast
Bed shop,bed_shop
Bedding store,bedding_store
Bedroom furniture store,bedroom_furniture_store
Bee relocation service,bee_relocation_service
Beer distributor,beer_distributor
Beer garden,beer_garden
Beer hall,beer_hall
Beer store,beer_store
Belgian restaurant,belgian_restaurant
