name,external_id,category_id
Alcoholic beverage wholesaler,alcoholic_beverage_wholesaler,3d89ac7f-3f05-4271-93b6-843748f99bbf
Alcoholism treatment program,alcoholism_treatment_program,072cd03e-efc0-49a3-bb36-27e82078b7bc
Alfa Romeo dealer,alfa_romeo_dealer,1207c560-143e-4eed-b170-f9d6e1d97a9f
Allergist,allergist,e20bc927-4f11-4a5a-9ace-d3f5bf6f9a76
Alliance church,alliance_church,572427b1-fdd9-4743-8a6e-8efb8b8edf42
Alsace restaurant,alsace_restaurant,5823cfaa-ef52-426d-a464-c3b728b307ab
Alternative fuel station,alternative_fuel_station,fcc95894-a158-45e0-9407-5056726e0e94
Alternative medicine practitioner,alternative_medicine_practitioner,3b662b3d-b202-4d8b-99d6-87631dc25020
Alternator supplier,alternator_supplier,4a946937-ffca-4ac3-9ec2-c3607733c09d
Aluminum frames supplier,aluminum_frames_supplier,a3e6480b-7702-4426-b477-f3fbf4cc02a2
Aluminum supplier,aluminium_supplier,7a6aa81f-c8c8-4dfc-8d60-ae3f0077455b
Aluminum welder,aluminum_welder,72da02c6-3b21-4fa8-a670-ce0665111dc8
Aluminum window,aluminum_window,6eede167-5287-4ce6-8e03-eb8e5efb5b29
Amateur theater,amateur_theatre,d04c67bb-92ca-4a3c-afc0-31d9c05be470
Ambulance service,ambulance_service,38f546aa-f017-491c-ac72-6b3b66d46d8b
American football field,football_field,b549237a-fc68-4b3a-aba3-c3d5c01361a9
American grocery store,american_grocery_store,e0b669fa-a2a2-4c90-b3d4-e873c5660c59
American restaurant,american_restaurant,91b0bdf8-18a4-4669-aedd-eaf11b9d2882
Amish furniture store,amish_furniture_store,ed9ea016-bb24-49fa-b608-9f0bde919d1f
Ammunition supplier,ammunition_supplier,d441e9a0-81f4-4b32-ac5e-b9cda01af162
Amphitheater,amphitheatre,1638f974-f3ee-4c91-af5c-87407c8fd5fa
Amusement center,amusement_center,025dc891-db6e-42c6-bb34-e2a961e95815
Amusement machine supplier,amusement_machine_supplier,91f672eb-fe1f-4864-99a6-7df7035f66ed
Amusement park,amusement_park,ac87f5fb-c314-4f9e-a794-5fc4ac578e62
Amusement park ride,amusement_park_ride,11e0a688-ac18-4899-a42e-9c40352c3831
Amusement ride supplier,amusement_ride_supplier,6205d9a5-c817-4c48-8786-d395d92875aa
Anago restaurant,anago_restaurant,934875fa-66de-43f7-b360-4a2fd6d12993
Andalusian restaurant,andalusian_restaurant,9bdf7579-ced8-4ec2-8c1a-3a8ad0b7501d
Andhra restaurant,andhra_restaurant,2b6df887-b140-4d14-bd90-6983d6d04500
Anesthesiologist,anesthesiologist,43ddc145-5c43-4f98-b798-c0c47c1d205c
Anganwadi center,anganwadi_center,7eb0c01c-89f4-47ae-826f-f3eaef1df9ce
Angler fish restaurant,angler_fish_restaurant,4812842a-43a4-4e13-ad87-869729e7f7f8
Anglican church,anglican_church,0d9a2637-e2e7-42d0-bd3f-13eba29e4292
Anhui restaurant,an_hui_restaurant,0848befd-0952-49f2-9ac0-0072b5933b85
Animal control service,animal_control_service,b1b3cfe1-56ba-4953-a797-7fed7de98fed
Animal feed store,feed_store,0037f380-fef1-4733-b352-e128778c97ce
Animal hospital,animal_hospital,7ae557f4-7908-4f73-b8ac-65be07e18a45
Animal park,animal_park,dea1a8da-469f-4708-9146-47f9eb0abe48
Animal protection organization,animal_protection_organization,b6f0f6ef-2bf3-4660-94ee-29c503cfe5da
Animal rescue service,animal_rescue_service,fe9245d5-4c61-4a84-ab62-3c17271398a9
Animal shelter,animal_shelter,c9581e4d-1052-41e5-ac7b-bf21b6843275
Animal watering hole,animal_watering_hole,99974d94-1da0-45ed-a22c-fe9fd2d57c48
Animation studio,animation_studio,d11b4073-dc99-46aa-a4a1-197106b24af0
Anime club,anime_club,d4088813-8ffe-41b9-aaa1-5970071a012d
Anodizing service,anodizer,f61dd678-2a50-440b-aec1-b11e26932f28
Antenna service,aerial_installation_service,58299b60-d9f0-4505-a5ac-e4c93246102d
Antique furniture restoration service,antique_furniture_restoration_service,8d15bb88-7911-40ac-99d8-9d5267849c38
Antique furniture store,antique_furniture_store,65b0655f-d648-4050-927b-5834f9c53d14
Antique store,antique_store,8d1370b6-aeff-4441-a355-6a97f00fb3c5
Apartment building,apartment_building,95c0ec5f-3840-4e5d-a3b5-c7e0a4baf68f
Apartment complex,apartment_complex,f32be399-0772-474a-87a6-15bebf8e6939
Apartment rental agency,apartment_rental_agency,c24bd3f0-67d2-480a-b38a-9acb2ce62955
Apostolic church,apostolic_church,e9fade91-49af-4685-8d0b-ac63a6f7063e
Appliance parts supplier,appliance_parts_supplier,029b8962-637d-4f7c-ad08-4a762102a367
Appliance rental service,appliance_rental_service,c5a18994-e4d3-4cad-bfa3-8f71f50d8a1b
Appliance repair service,appliance_repair_service,4f3d94e9-dccd-4530-a8d5-6e752328e240
Appliance store,appliance_store,9c959799-4fa2-463c-974f-dc9b98696d7f
Appliances customer service,appliances_customer_service,27967077-9403-4b1a-b3fb-39f2d13816b9
Appraiser,appraiser,85eefe6b-7b99-47a2-9119-1e8dd0d53f33
Apprenticeship center,apprenticeship_center,bee488c5-46c1-4842-9342-7a79d88039d5
Aquaculture farm,aquaculture_farm,e8551394-692f-4079-ae60-4e460f00fa20
Aquarium,aquarium,21d85a36-1fb1-423c-a64c-b60b57f66d03
Aquarium shop,aquarium_shop,33e15919-73ac-4c55-b7e4-be774604880c
Aquatic centre,aquatic_center,415a237b-1b5a-4924-96c8-dd96997a3a55
Arab restaurant,arab_restaurant,c2e6ae06-50ac-4a02-8474-1e9a46c3423f
Arboretum,arboretum,b16e6788-fb4f-4000-88fb-6413331501d8
Arborist and tree surgeon,arborist_and_tree_surgeon,b9a515d4-57d5-44e6-b01b-dfb3ff496fcf
Archaeological museum,archaeological_museum,c3ae4d3d-a34f-4ad7-a0ee-04cd62001d4d
Archery club,archery_club,a63d7736-ee24-46ec-bf85-ce1596386cfa
Archery range,archery_range,9ff04d9e-ed90-4f3c-bf63-0544a1de16c8
Archery store,archery_store,75f0a079-917f-425d-a52f-a4578bff1175
Architect,architect,bbf788c6-1764-42dd-b390-3d3e4a0033ec
Architects association,architects_association,f2b45f4b-4afa-4bf1-a0b3-60e85ca6b0e4
Architectural and engineering model maker,architectural_and_engineering_model_maker,dbd230af-10cd-49f2-a677-6ee235d5a582
Architectural designer,architectural_designer,e62029aa-585a-4247-8c0b-198c17251164
Architectural salvage store,architectural_salvage_store,1c67cf05-8cbc-416f-9c91-219169014934
Architecture firm,architecture_firm,6a54402b-9d75-463f-b2e0-2fdf539aa02c
Architecture school,architecture_school,6583f69b-f7c7-48cc-9541-c16703651b6d
Archive,archive,9ca4783d-6248-48ec-978b-8389758d29b8
Arena,arena,0d0f5769-5687-4a26-9917-9feaa2c7e7ad
Argentinian restaurant,argentinian_restaurant,78f71287-574e-4d65-83e8-dae96b66f2ba
Armed forces association,armed_forces_association,8f4c823c-ec07-4576-b250-13f3d9859d47
Armenian church,armenian_church,62db7baf-79b3-4e9e-9277-62f06f1e6b69
Armenian restaurant,armenian_restaurant,e10f922c-b318-4525-b3e2-54d1e28cd3a6
Army & navy surplus shop,army_and_navy_store,7ce2e67f-d158-4d9e-adcb-c08b35e33510
Army barracks,army_base,3d0e4fd5-3a03-4410-b3d0-c0cacf2d343a
Army facility,army_facility,8d5cada2-023b-4dbf-bf57-afcba2edc93e
Army museum,army_museum,6d80f433-4065-49c7-a9fe-05a74e3e74ef
Aromatherapy class,aromatherapy_class,998bc472-87fe-4e7d-b052-38c7f4e751e3
Aromatherapy service,aromatherapy_service,c795f1e7-f49b-4ec8-af06-d4576c617fb9
